"","name","date","sales","sales_share","boxoffice_num","num_of_screen","rep_nation","nation","num_of_screenings","distributor","director1","director2","director3","director4","director5","director6","director7","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10","actor11","actor12","actor13","actor14","actor15","actor16","date2","month","year","y","director8","director9","actor17","actor18","actor19","nation2"
"1","극한직업","2019.1.23","139,651,845,516","7.3%","16,265,618","2,003","292,584","한국","한국","(주)씨제이이엔엠"," 이병헌","","","","","",""," 류승룡"," 이하늬"," 진선규"," 이동휘"," 공명","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"2","어벤져스: 엔드게임","2019.4.24","122,182,694,160","6.4%","13,934,592","2,835","242,001","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 안소니 루소"," 조 루소","","","","",""," 로버트 다우니 주니어"," 크리스 에반스"," 크리스 헴스워스"," 마크 러팔로"," 스칼릿 조핸슨"," 제레미 레너"," 폴 러드"," 돈 치들"," 브리 라슨"," 카렌 길런"," 브래들리 쿠퍼"," 조슈 브롤린","","","","","0","04","2019",19,NA,NA,NA,NA,NA,"2"
"3","겨울왕국 2","2019.11.21","111,596,248,720","5.8%","13,369,064","2,648","282,557","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 크리스 벅"," 제니퍼 리","","","","",""," 크리스틴 벨"," 이디나 멘젤","","","","","","","","","","","","","","","0","11","2019",19,NA,NA,NA,NA,NA,"2"
"4","알라딘","2019.5.23","106,955,138,359","5.6%","12,552,283","1,409","266,469","미국","미국","월트디즈니컴퍼니코리아 유한책임회사","","","","","","","","","","","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"2"
"5","기생충","2019.5.30","85,883,963,645","4.5%","10,085,275","1,948","192,855","한국","한국","(주)씨제이이엔엠"," 봉준호","","","","","",""," 송강호"," 이선균"," 조여정"," 최우식"," 박소담"," 이정은"," 장혜진","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"1"
"6","엑시트","2019.7.31","79,232,012,162","4.1%","9,426,011","1,660","202,223","한국","한국","(주)씨제이이엔엠"," 이상근","","","","","",""," 조정석"," 윤아","","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"1"
"7","스파이더맨: 파 프롬 홈","2019.7.2","69,010,000,100","3.6%","8,021,145","2,142","180,474","미국","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 존 왓츠","","","","","",""," 톰 홀랜드"," 사무엘 L. 잭슨"," 젠데이아 콜먼","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"2"
"8","백두산","2019.12.19","52,905,789,770","2.8%","6,290,502","1,971","99,915","한국","한국","(주)씨제이이엔엠,(주)덱스터스튜디오","","","","","","","","","","","","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"1"
"9","캡틴 마블","2019.3.6","51,507,488,723","2.7%","5,802,810","2,100","186,382","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 애너 보든"," 라이언 플렉","","","","",""," 브리 라슨"," 사무엘 L. 잭슨"," 벤 멘델슨"," 주드 로","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"2"
"10","조커","2019.10.2","45,381,075,450","2.4%","5,247,874","1,418","147,380","미국","미국","워너브러더스 코리아(주)"," 토드 필립스","","","","","",""," 호아킨 피닉스","","","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"2"
"11","봉오동 전투","2019.8.7","40,588,648,538","2.1%","4,787,538","1,476","107,030","한국","한국","(주)쇼박스"," 원신연","","","","","",""," 유해진"," 류준열"," 조우진","","","","","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"1"
"12","라이온 킹","2019.7.17","41,519,457,430","2.2%","4,743,264","1,936","126,496","미국","미국","월트디즈니컴퍼니코리아 유한책임회사","","","","","","","","","","","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"2"
"13","나쁜 녀석들: 더 무비","2019.9.11","39,560,195,124","2.1%","4,573,902","1,511","113,938","한국","한국","(주)씨제이이엔엠"," 손용호","","","","","",""," 마동석"," 김상중"," 김아중"," 장기용","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"14","82년생 김지영","2019.10.23","30,298,542,310","1.6%","3,678,156","1,486","145,441","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 김도영","","","","","",""," 정유미"," 공유","","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"1"
"15","분노의 질주: 홉스&쇼","2019.8.14","32,241,767,793","1.7%","3,657,536","1,311","94,896","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 데이빗 레이치","","","","","",""," 드웨인 존슨"," 제이슨 스타뎀"," 이드리스 엘바"," 바네사 커비","","","","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"2"
"16","토이 스토리 4","2019.6.20","28,758,452,040","1.5%","3,400,034","1,336","85,875","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 조시 쿨리","","","","","",""," 톰 행크스"," 팀 알렌"," 애니 파츠"," 토니 헤일","","","","","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"2"
"17","돈","2019.3.20","28,870,244,062","1.5%","3,389,125","1,431","120,809","한국","한국","(주)쇼박스","","","","","","","","","","","","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"1"
"18","악인전","2019.5.15","29,133,760,150","1.5%","3,364,712","1,307","97,351","한국","한국","(주)에이스메이커무비웍스,(주)키위미디어그룹"," 이원태","","","","","",""," 마동석"," 김무열"," 김성규","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"1"
"19","가장 보통의 연애","2019.10.2","24,885,803,430","1.3%","2,924,563","1,073","111,527","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 김한결","","","","","",""," 김래원"," 공효진","","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"1"
"20","말모이","2019.1.9","23,685,091,520","1.2%","2,812,877","1,203","87,591","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 엄유나","","","","","",""," 유해진"," 윤계상","","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"21","증인","2019.2.13","20,482,789,331","1.1%","2,534,748","1,047","89,564","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 페테르 바스코","","","","","","","","","","","","","","","","","","","","","","","0","02","2019",19,NA,NA,NA,NA,NA,"1"
"22","시동","2019.12.18","21,236,477,800","1.1%","2,525,986","1,515","58,603","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 최정열","","","","","",""," 마동석"," 박정민"," 정해인"," 염정아"," 최성은","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"1"
"23","블랙머니","2019.11.13","20,863,134,010","1.1%","2,478,964","1,141","77,469","한국","한국","(주)에이스메이커무비웍스"," 크리스찬 세스마","","","","","",""," 루크 고스"," 발 킬머","","","","","","","","","","","","","","","0","11","2019",19,NA,NA,NA,NA,NA,"1"
"24","터미네이터: 다크 페이트","2019.10.30","20,153,895,830","1.1%","2,409,062","1,315","81,336","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 팀 밀러","","","","","",""," 맥켄지 데이비스"," 아놀드 슈왈제네거"," 린다 해밀턴"," 나탈리아 레이즈"," 가브리엘 루나","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"2"
"25","사바하","2019.2.20","20,007,508,194","1.0%","2,398,519","1,174","78,096","한국","한국","(주)씨제이이엔엠"," 장재현","","","","","",""," 이정재"," 박정민"," 이재인"," 유지태","","","","","","","","","","","","","0","02","2019",19,NA,NA,NA,NA,NA,"1"
"26","타짜: 원 아이드 잭","2019.9.11","19,687,029,214","1.0%","2,229,239","1,429","66,479","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 권오광","","","","","",""," 박정민"," 류승범"," 최유화","","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"27","신의 한 수: 귀수편","2019.11.7","18,463,776,050","1.0%","2,157,437","1,246","82,178","한국","한국","(주)씨제이이엔엠"," 리건","","","","","",""," 권상우"," 김희원"," 김성균","","","","","","","","","","","","","","0","11","2019",19,NA,NA,NA,NA,NA,"1"
"28","알리타: 배틀 엔젤","2019.2.5","18,571,455,667","1.0%","1,952,063","1,043","52,666","미국","미국","월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"," 로버트 로드리게즈","","","","","",""," 로사 살라자르"," 크리스토프 왈츠"," 키언 존슨"," 마허샬라 알리"," 제니퍼 코넬리","","","","","","","","","","","","0","02","2019",19,NA,NA,NA,NA,NA,"2"
"29","내안의 그놈","2019.1.9","16,302,228,567","0.9%","1,902,828","1,041","61,683","한국","한국","(주)메리크리스마스,TCO(주)더콘텐츠온"," 강효진","","","","","",""," 진영"," 박성웅"," 라미란","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"30","뺑반","2019.1.30","15,224,305,848","0.8%","1,826,912","1,285","47,215","한국","한국","(주)쇼박스"," 한준희","","","","","",""," 공효진"," 류준열"," 조정석","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"31","변신","2019.8.21","15,417,922,925","0.8%","1,804,112","975","63,211","한국","한국","(주)에이스메이커무비웍스"," 장시림","","","","","",""," 진백림"," 곽설부"," 오견","","","","","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"1"
"32","주먹왕 랄프 2: 인터넷 속으로","2019.1.3","13,877,029,723","0.7%","1,754,375","1,453","56,412","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 필 존스턴"," 리치 무어","","","","",""," 존 C. 라일리"," 사라 실버맨"," 제인 린치"," 잭 맥브레이어","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"2"
"33","걸캅스","2019.5.9","13,812,802,134","0.7%","1,629,528","973","63,163","한국","한국","(주)씨제이이엔엠"," 정다원","","","","","",""," 라미란"," 이성경","","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"1"
"34","사자","2019.7.31","12,931,566,145","0.7%","1,611,163","1,405","47,683","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트","","","","","","","","","","","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"1"
"35","아쿠아맨","2018.12.19","13,659,344,323","0.7%","1,546,297","1,158","50,500","미국","미국,호주","워너브러더스 코리아(주)"," 제임스 완","","","","","",""," 제이슨 모모아"," 앰버 허드"," 니콜 키드먼"," 패트릭 윌슨"," 윌렘 대포"," 돌프 룬드그렌","","","","","","","","","","","0","12","2018",19,NA,NA,NA,NA,NA,"2"
"36","드래곤 길들이기 3","2019.1.30","12,346,432,876","0.6%","1,507,922","971","42,407","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 딘 데블로이스","","","","","",""," 제이 바루첼"," 아메리카 페레라"," 케이트 블란쳇"," 키트 해링턴"," 크레이그 퍼거슨"," F. 머레이 아브라함","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"2"
"37","나의 특별한 형제","2019.5.1","12,081,618,074","0.6%","1,478,156","936","49,927","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 육상효","","","","","",""," 신하균"," 이광수"," 이솜","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"1"
"38","어스","2019.3.27","12,586,771,104","0.7%","1,475,087","1,132","58,522","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 디파 메타","","","","","",""," 마이아 세스나"," 난디타 다스","","","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"2"
"39","말레피센트 2","2019.10.17","12,191,395,690","0.6%","1,444,952","1,108","63,768","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 요아킴 뢰닝","","","","","",""," 안젤리나 졸리"," 엘르 패닝"," 미셸 파이퍼","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"2"
"40","유열의 음악앨범","2019.8.28","10,233,455,040","0.5%","1,245,532","1,078","59,626","한국","한국","CGV아트하우스"," 정지우","","","","","",""," 김고은"," 정해인","","","","","","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"1"
"41","퍼펙트맨","2019.10.2","10,311,352,770","0.5%","1,240,022","894","50,055","한국","한국","(주)쇼박스"," 마크 로즈만","","","","","",""," 힐러리 더프"," 헤더 로클리어","","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"1"
"42","포드 V 페라리","2019.12.4","10,612,013,680","0.6%","1,208,407","986","40,175","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 제임스 맨골드","","","","","",""," 맷 데이먼"," 크리스찬 베일","","","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"2"
"43","생일","2019.4.3","9,885,147,340","0.5%","1,197,565","878","71,797","한국","한국","(주)넥스트엔터테인먼트월드(NEW)","","","","","","","","","","","","","","","","","","","","","","","","0","04","2019",19,NA,NA,NA,NA,NA,"1"
"44","힘을 내요, 미스터 리","2019.9.11","9,930,518,906","0.5%","1,181,960","990","41,831","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 이계벽","","","","","",""," 차승원"," 엄채영"," 박해준","","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"45","항거:유관순 이야기","2019.2.27","9,291,455,101","0.5%","1,157,949","1,094","46,159","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 조민호","","","","","",""," 고아성"," 김새벽"," 김예은"," 정하담"," 류경수","","","","","","","","","","","","0","02","2019",19,NA,NA,NA,NA,NA,"1"
"46","장사리 : 잊혀진 영웅들","2019.9.25","8,997,921,050","0.5%","1,140,876","1,090","47,821","한국","한국","워너브러더스 코리아(주)"," 곽경택"," 김태훈","","","","",""," 김명민"," 최민호"," 김성철"," 김인권"," 곽시양","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"47","마이펫의 이중생활 2","2019.7.31","8,512,902,825","0.4%","1,114,949","933","30,858","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 크리스 리노드","","","","","",""," 패튼 오스왈트"," 케빈 하트"," 제니 슬레이트"," 에릭 스톤스트릿"," 티파니 해디쉬"," 레이크 벨"," 해리슨 포드","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"2"
"48","롱 리브 더 킹: 목포 영웅","2019.6.19","9,228,798,910","0.5%","1,094,404","965","38,839","한국","한국","메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다"," 강윤성","","","","","",""," 김래원"," 원진아"," 진선규"," 최귀화","","","","","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"1"
"49","쥬만지: 넥스트 레벨","2019.12.11","8,774,663,410","0.5%","1,054,963","1,195","42,083","미국","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 제이크 캐스단","","","","","",""," 드웨인 존슨"," 잭 블랙"," 케빈 하트"," 카렌 길런","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"2"
"50","존 윅 3: 파라벨룸","2019.6.26","8,205,015,858","0.4%","1,004,365","849","29,819","미국","미국","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"," 채드 스타헬스키","","","","","",""," 키아누 리브스","","","","","","","","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"2"
"51","천문: 하늘에 묻는다","2019.12.26","7,808,242,950","0.4%","965,624","1,198","25,734","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 허진호","","","","","",""," 최민식"," 한석규","","","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"1"
"52","나랏말싸미","2019.7.24","7,871,240,823","0.4%","958,775","1,211","39,206","한국","한국","메가박스중앙(주)플러스엠"," 조철현","","","","","",""," 송강호"," 박해일"," 전미선","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"1"
"53","엑스맨: 다크 피닉스","2019.6.5","7,649,216,640","0.4%","862,744","991","29,386","미국","미국","이십세기폭스코리아(주)"," 사이먼 킨버그","","","","","",""," 제임스 맥어보이"," 마이클 패스벤더"," 제니퍼 로렌스"," 니콜라스 홀트"," 소피 터너"," 타이 쉐리던"," 에반 피터스"," 제시카 차스테인","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"2"
"54","맨 인 블랙: 인터내셔널","2019.6.12","7,464,209,570","0.4%","851,917","1,151","40,520","미국","미국","롯데컬처웍스(주)롯데엔터테인먼트"," F. 게리 그레이","","","","","",""," 크리스 헴스워스"," 테사 톰슨","","","","","","","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"2"
"55","레드슈즈","2019.7.25","6,103,833,190","0.3%","817,729","717","20,376","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 안나 포드칼스카","","","","","","","","","","","","","","","","","","","","","","","0","07","2019",19,NA,NA,NA,NA,NA,"1"
"56","뽀로로 극장판 보물섬 대모험","2019.4.25","5,886,383,900","0.3%","766,843","797","20,075","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 김현호"," 윤창섭","","","","",""," 이선"," 이미자"," 김현지"," 홍소영"," 정미숙"," 김서영"," 김환진"," 남도형"," 정승욱"," 이장원"," 황창영","","","","","","0","04","2019",19,NA,NA,NA,NA,NA,"1"
"57","캣츠","2019.12.24","6,093,167,690","0.3%","728,328","1,143","22,732","미국","미국,영국","유니버설픽쳐스인터내셔널 코리아(유)"," 피터 보그다노비치","","","","","",""," 커스틴 던스트"," 캐리 엘위스"," 에드워드 허먼"," 에디 이자드"," 조안나 럼리"," 빅터 슬레작"," 제니퍼 틸리","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"2"
"58","보헤미안 랩소디","2018.10.31","6,270,535,440","0.3%","723,804","732","27,689","미국","미국","월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"," 브라이언 싱어","","","","","",""," 라미 말렉"," 루시 보인턴"," 귈림 리"," 벤 하디"," 조셉 마젤로","","","","","","","","","","","","0","10","2018",19,NA,NA,NA,NA,NA,"2"
"59","명탐정 피카츄","2019.5.9","5,730,788,546","0.3%","686,809","817","25,776","미국","미국","워너브러더스 코리아(주)"," 롭 레터맨","","","","","",""," 라이언 레이놀즈"," 저스티스 스미스","","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"2"
"60","신비아파트 극장판 하늘도깨비 대 요르문간드","2019.12.19","5,299,942,440","0.3%","672,122","841","13,762","한국","한국","(주)씨제이이엔엠"," 변영규","","","","","",""," 조현정"," 양정화"," 김영은"," 김채하","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"1"
"61","나이브스 아웃","2019.12.4","5,648,860,210","0.3%","667,411","686","24,205","미국","미국","(주)올스타엔터테인먼트"," 라이언 존슨","","","","","",""," 다니엘 크레이그"," 크리스 에반스"," 아나 디 아르마스"," 제이미 리 커티스"," 토니 콜렛"," 마이클 섀넌"," 돈 존슨"," 키스 스탠필드"," 캐서린 랭포드"," 제이든 마텔"," 크리스토퍼 플러머","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"2"
"62","샤잠!","2019.4.3","5,743,398,797","0.3%","657,294","1,148","45,003","미국","미국","워너브러더스 코리아(주)"," 데이비드 F. 샌드버그","","","","","",""," 제커리 레비"," 애셔 앤젤","","","","","","","","","","","","","","","0","04","2019",19,NA,NA,NA,NA,NA,"2"
"63","날씨의 아이","2019.10.30","5,413,288,410","0.3%","655,876","716","28,802","일본","일본","메가박스중앙(주)플러스엠,(주)미디어캐슬,워터홀컴퍼니(주)"," 신카이 마코토","","","","","",""," 심규혁"," 김유림"," 최한"," 강은애"," 이장원"," 손정아"," 다이고 코타로"," 모리 나나"," 오구리 슌"," 혼다 츠바사"," 히라이즈미 세이","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"3"
"64","나를 찾아줘","2019.11.27","5,117,014,620","0.3%","645,082","875","29,475","한국","한국","워너브러더스 코리아(주)"," 데이빗 핀처","","","","","",""," 벤 애플렉"," 로자먼드 파이크","","","","","","","","","","","","","","","0","11","2019",19,NA,NA,NA,NA,NA,"1"
"65","광대들: 풍문조작단","2019.8.21","5,228,976,088","0.3%","637,461","806","29,048","한국","한국","워너브러더스 코리아(주)"," 김주호","","","","","",""," 조진웅"," 손현주"," 박희순"," 고창석"," 김슬기"," 윤박"," 김민석","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"1"
"66","그것: 두 번째 이야기","2019.9.4","5,112,010,367","0.3%","591,346","999","25,622","미국","미국","워너브러더스 코리아(주)"," 안드레스 무시에티","","","","","",""," 빌 스카스가드"," 제임스 맥어보이"," 제시카 차스테인","","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"2"
"67","극장판 헬로카봇 : 달나라를 구해줘!","2019.9.4","4,579,618,150","0.2%","590,413","889","20,852","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트"," 최신규"," 김진철","","","","",""," 이지현"," 김용준"," 양정화"," 조경이","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"68","극장판 헬로카봇: 옴파로스 섬의 비밀","2019.1.31","4,485,953,140","0.2%","575,362","752","15,827","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 최신규"," 김진철","","","","",""," 이지현"," 김용준","","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"69","이스케이프 룸","2019.3.14","5,007,420,664","0.3%","563,114","850","29,219","미국","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 피터 듀크스","","","","","",""," 크리스틴 돈런"," 랜디 웨인"," 스키트 울리치","","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"2"
"70","양자물리학","2019.9.25","4,536,436,380","0.2%","554,939","799","25,296","한국","한국","(주)메리크리스마스"," 이성태","","","","","",""," 박해수"," 서예지"," 김상호"," 김응수"," 변희봉"," 김영재"," 이창훈","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"1"
"71","애드 아스트라","2019.9.19","4,518,393,460","0.2%","513,375","853","27,816","미국","미국","이십세기폭스코리아(주)"," 제임스 그레이","","","","","",""," 브래드 피트","","","","","","","","","","","","","","","","0","09","2019",19,NA,NA,NA,NA,NA,"2"
"72","47미터 2","2019.8.28","3,846,315,153","0.2%","501,934","649","24,027","미국","미국","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"," 요하네스 로버츠","","","","","",""," 소피 넬리스"," 시스틴 로즈 스탤론"," 브리안느 쥬"," 코린 폭스","","","","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"2"
"73","PMC: 더 벙커","2018.12.26","4,320,591,057","0.2%","492,517","893","23,116","한국","한국","(주)씨제이이엔엠"," 김병우","","","","","",""," 하정우"," 이선균","","","","","","","","","","","","","","","0","12","2018",19,NA,NA,NA,NA,NA,"1"
"74","애나벨 집으로","2019.6.26","3,993,147,140","0.2%","481,766","653","16,619","미국","미국","워너브러더스 코리아(주)"," 게리 도버먼","","","","","",""," 패트릭 윌슨"," 베라 파미가"," 맥케나 그레이스"," 매디슨 아이스먼","","","","","","","","","","","","","0","06","2019",19,NA,NA,NA,NA,NA,"2"
"75","감쪽같은 그녀","2019.12.4","3,594,862,790","0.2%","469,296","761","24,843","한국","한국","메가박스중앙(주)플러스엠"," 허인무","","","","","",""," 나문희"," 김수안","","","","","","","","","","","","","","","0","12","2019",19,NA,NA,NA,NA,NA,"1"
"76","글래스","2019.1.17","4,277,452,982","0.2%","466,475","837","24,194","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 스콧 힉스","","","","","",""," 필립 글래스","","","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"2"
"77","그린 북","2019.1.9","3,631,254,060","0.2%","434,899","398","18,244","미국","미국","CGV아트하우스"," 피터 패럴리","","","","","",""," 비고 모텐슨"," 마허샬라 알리","","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"2"
"78","장난스런 키스","2019.3.27","3,501,463,050","0.2%","428,009","532","20,458","대만","대만","오드,(주)홈초이스","","","","","","","","","","","","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"3"
"79","해피 데스데이 2 유","2019.2.14","3,437,809,200","0.2%","412,850","657","18,254","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 크리스토퍼 랜던","","","","","",""," 제시카 로테"," 이스라엘 브로우사드"," 피 부","","","","","","","","","","","","","","0","02","2019",19,NA,NA,NA,NA,NA,"2"
"80","극장판 공룡메카드: 타이니소어의 섬","2019.1.10","3,140,220,420","0.2%","410,132","763","15,121","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 최신규"," 유재운","","","","",""," 김서영"," 엄상현"," 안현서"," 김장","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"81","범블비","2018.12.25","3,334,865,955","0.2%","394,493","766","18,199","미국","미국","롯데컬처웍스(주)롯데엔터테인먼트","","","","","","","","","","","","","","","","","","","","","","","","0","12","2018",19,NA,NA,NA,NA,NA,"2"
"82","제미니 맨","2019.10.9","3,295,969,230","0.2%","387,342","845","26,044","미국","미국","롯데컬처웍스(주)롯데엔터테인먼트"," 이안","","","","","",""," 윌 스미스","","","","","","","","","","","","","","","","0","10","2019",19,NA,NA,NA,NA,NA,"2"
"83","고질라: 킹 오브 몬스터","2019.5.29","3,085,036,318","0.2%","359,041","923","15,867","미국","미국","워너브러더스 코리아(주)"," 마이클 도허티","","","","","",""," 밀리 바비 브라운"," 베라 파미가"," 카일 챈들러","","","","","","","","","","","","","","0","05","2019",19,NA,NA,NA,NA,NA,"2"
"84","덤보","2019.3.27","2,775,096,512","0.1%","345,521","797","17,627","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 벤 샤프스틴"," 사무엘 암스트롱"," 노먼 퍼거슨"," 윌프레드 잭슨"," 잭 키니"," 빌 로버츠"," 존 엘리엇"," 스테링 할러웨이"," 허먼 빙"," 버나 펠턴"," 빌리 블레처","","","","","","","","","","","","","0","03","2019",19,NA,NA,NA,NA,NA,"2"
"85","러브 유어셀프 인 서울","2019.1.26","3,209,682,900","0.2%","342,366","224","4,535","한국","한국","씨제이 씨지브이(CJ CGV)(주)"," RM"," 진"," 슈가"," 제이홉"," 지민"," 뷔"," 정국","","","","","","","","","","","","","","","","","0","01","2019",19,NA,NA,NA,NA,NA,"1"
"86","브링 더 소울 : 더 무비","2019.8.7","2,902,500,310","0.2%","336,074","569","10,199","한국","한국","CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사"," 박준수","","","","","",""," RM"," 진"," 슈가"," 제이홉"," 지민"," 뷔"," 정국","","","","","","","","","","0","08","2019",19,NA,NA,NA,NA,NA,"1"
"87","아담스 패밀리","2019.11.7","2,636,891,140","0.1%","329,955","802","11,242","미국","미국,영국,캐나다","유니버설픽쳐스인터내셔널 코리아(유)"," 그렉 티어난"," 콘래드 버논","","","","",""," 오스카 아이삭"," 샤를리즈 테론"," 클로이 모레츠"," 닉 크롤"," 제이본 워너 월튼"," 스눕 독"," 빌 헤이더","","","","","","","","","","0","11","2019",19,NA,NA,NA,NA,NA,"2"
